size temperature mag energy mag_sus sp_heat
10 2.6 0.459098 -108.471 2.40295 0.921298 
10 2.62 0.443264 -106.398 2.37485 0.916472 
10 2.62 0.441692 -105.931 2.30149 0.886282 
10 2.62 0.44797 -106.678 2.35891 0.93473 
10 2.62 0.438672 -106.045 2.34711 0.878156 
10 2.62 0.443726 -106.44 2.29926 0.879886 
10 2.64 0.431834 -104.99 2.28134 0.844652 
10 2.64 0.432304 -104.84 2.23847 0.835421 
10 2.64 0.421282 -103.755 2.20912 0.827077 
10 2.64 0.432336 -104.511 2.27029 0.849813 
10 2.64 0.428298 -104.023 2.25501 0.850504 
10 2.66 0.408768 -101.762 2.17795 0.834866 
10 2.66 0.41795 -103.085 2.18485 0.809588 
10 2.66 0.41348 -102.316 2.17162 0.812911 
10 2.66 0.418814 -103.024 2.17858 0.801959 
10 2.66 0.414304 -102.492 2.20933 0.827567 
10 2.68 0.402822 -101.29 2.17949 0.818117 
10 2.68 0.403198 -101.143 2.14489 0.777961 
10 2.68 0.409886 -101.607 2.12486 0.784654 
10 2.68 0.406828 -101.695 2.14064 0.781599 
10 2.68 0.410716 -102.303 2.13649 0.762363 
10 2.7 0.391006 -99.428 2.05818 0.769219 
10 2.7 0.392376 -99.784 2.05819 0.767019 
10 2.7 0.394742 -100.438 2.0898 0.739376 
10 2.7 0.390974 -99.524 2.04928 0.748937 
10 2.7 0.392748 -99.52 2.07206 0.744718 
10 2.72 0.376204 -97.6528 1.99456 0.727722 
10 2.72 0.383108 -98.1264 1.98336 0.723439 
10 2.72 0.381438 -98.2624 1.99582 0.718622 
10 2.72 0.381628 -98.0032 1.97222 0.730441 
10 2.72 0.384876 -98.6752 2.00833 0.726399 
10 2.74 0.3723 -96.8032 1.94011 0.7177 
10 2.74 0.367706 -96.4136 1.88693 0.679548 
10 2.74 0.370894 -97.0784 1.95138 0.681011 
10 2.74 0.375056 -97.6076 1.92144 0.681285 
10 2.74 0.372294 -96.8588 1.92904 0.700794 
10 2.76 0.357402 -95.4884 1.83848 0.651744 
10 2.76 0.359974 -95.4536 1.84447 0.652668 
10 2.76 0.365846 -95.6632 1.88584 0.675129 
10 2.76 0.364812 -95.928 1.8563 0.653369 
10 2.76 0.35998 -95.4996 1.85828 0.664294 
10 2.78 0.355734 -94.2516 1.7978 0.643011 
10 2.78 0.352062 -94.38 1.78907 0.65621 
10 2.78 0.35355 -93.8744 1.79197 0.648517 
10 2.78 0.352846 -94.38 1.76554 0.630679 
10 2.78 0.35574 -94.4832 1.78814 0.659407 
10 2.8 0.338852 -91.9764 1.72182 0.639769 
10 2.8 0.343518 -92.956 1.75849 0.6135 
10 2.8 0.335334 -92.4888 1.68491 0.606671 
10 2.8 0.341486 -92.7736 1.69566 0.612086 
