size temperature m m2 m4 ms e sp_h 
10 1.9 0.974514 0.950907 0.908425 0.0647255 -210.288 0.329656 
10 1.905 0.974196 0.95035 0.907494 0.067838 -210.191 0.335828 
10 1.905 0.974106 0.95005 0.906636 0.0612882 -210.108 0.322031 
10 1.905 0.974736 0.951299 0.909051 0.0623984 -210.354 0.325609 
10 1.91 0.974038 0.949925 0.906424 0.0615128 -210.024 0.325892 
10 1.91 0.974186 0.950213 0.907016 0.0614784 -210.179 0.326649 
10 1.91 0.974278 0.950372 0.907239 0.0604491 -210.166 0.324556 
10 1.915 0.97327 0.948455 0.903734 0.062698 -209.777 0.334484 
10 1.915 0.97408 0.949991 0.906508 0.0605323 -210.073 0.321444 
10 1.915 0.974096 0.950064 0.906771 0.0627312 -210.115 0.323427 
10 1.92 0.973058 0.948093 0.903135 0.0651588 -209.779 0.324392 
10 1.92 0.97247 0.94698 0.901202 0.0667906 -209.52 0.350149 
10 1.92 0.972728 0.947577 0.90234 0.0717249 -209.654 0.33359 
10 1.925 0.972998 0.947973 0.902949 0.0648048 -209.715 0.330392 
10 1.925 0.970694 0.944349 0.897284 0.109224 -209.155 0.364323 
10 1.925 0.972122 0.946348 0.900126 0.0689318 -209.41 0.350886 
10 1.93 0.971504 0.945208 0.898097 0.0719408 -209.211 0.351917 
10 1.93 0.972154 0.946485 0.900485 0.0726093 -209.498 0.346542 
10 1.93 0.97197 0.946029 0.899465 0.0675502 -209.386 0.345077 
10 1.935 0.971386 0.94499 0.897689 0.0723224 -209.233 0.347904 
10 1.935 0.970822 0.943904 0.895735 0.0727796 -209.012 0.353696 
10 1.935 0.971494 0.945142 0.897881 0.0693131 -209.238 0.3435 
10 1.94 0.971304 0.944875 0.897665 0.0744196 -209.168 0.355754 
10 1.94 0.971018 0.944322 0.896582 0.0745321 -209.072 0.359237 
10 1.94 0.970884 0.944074 0.896191 0.0751762 -209.097 0.354161 
10 1.945 0.970286 0.942971 0.894252 0.0779639 -208.855 0.363833 
10 1.945 0.970544 0.94346 0.895136 0.0773442 -208.871 0.368803 
10 1.945 0.970524 0.943397 0.894968 0.0761237 -208.946 0.355097 
