size temperature m mag_sus 
32 2.349 0.422328 20.661 
32 2.349 0.426582 20.673 
32 2.349 0.42726 20.5873 
32 2.35 0.422445 20.5282 
32 2.35 0.425199 20.2365 
32 2.35 0.421317 20.6085 
32 2.35 0.425311 19.9504 
32 2.35 0.429094 20.2171 
32 2.351 0.422088 19.7774 
32 2.351 0.423115 20.4388 
32 2.351 0.419405 20.1964 
32 2.351 0.426099 20.1209 
32 2.351 0.423015 20.2418 
32 2.352 0.420896 19.9256 
32 2.352 0.420028 20.4436 
32 2.352 0.41636 20.5021 
32 2.352 0.420936 20.2128 
32 2.352 0.416084 20.1263 
32 2.353 0.415737 19.8608 
32 2.353 0.418117 20.0505 
32 2.353 0.417153 19.9032 
32 2.353 0.417175 19.8613 
32 2.353 0.416722 20.0749 
32 2.354 0.414876 19.6793 
32 2.354 0.412897 20.3073 
32 2.354 0.416195 20.0734 
32 2.354 0.416148 19.7154 
32 2.354 0.412052 20.3304 
32 2.355 0.417305 20.1627 
32 2.355 0.411288 20.1912 
32 2.355 0.413527 19.7421 
32 2.355 0.410139 20.2553 
32 2.355 0.412019 20.0716 
32 2.356 0.408326 19.9212 
32 2.356 0.411867 19.9807 
32 2.356 0.413243 20.0631 
32 2.356 0.409967 20.0546 
32 2.356 0.408231 19.7762 
32 2.357 0.403027 20.0753 
32 2.357 0.410345 19.6064 
32 2.357 0.40379 19.6612 
32 2.357 0.40609 19.7077 
32 2.357 0.408854 19.7442 
32 2.358 0.405676 19.6966 
32 2.358 0.402576 19.8064 
32 2.358 0.406063 19.9663 
32 2.358 0.405965 19.5909 
32 2.358 0.401831 20.0314 
32 2.359 0.399562 19.6359 
32 2.359 0.406119 19.5978 
32 2.359 0.405306 19.5392 
32 2.359 0.401038 19.9662 
32 2.359 0.397609 19.6133 
32 2.36 0.399076 20.0981 
32 2.36 0.396972 19.8931 
32 2.36 0.395165 19.6795 
32 2.36 0.401922 19.4866 
32 2.36 0.397115 19.9538 
32 2.361 0.396196 19.8314 
32 2.361 0.39772 19.8474 
32 2.361 0.399786 19.2955 
32 2.361 0.39542 19.6952 
32 2.361 0.397144 19.6624 
32 2.362 0.393165 19.4047 
32 2.362 0.390418 19.5398 
32 2.362 0.395062 19.53 
32 2.362 0.391993 19.4303 
32 2.362 0.392168 19.475 
32 2.363 0.393722 19.4467 
32 2.363 0.388229 19.432 
32 2.363 0.391055 19.5684 
32 2.363 0.396205 19.3675 
32 2.363 0.397333 19.6537 
32 2.364 0.390044 19.1673 
32 2.364 0.395522 18.9731 
32 2.364 0.388727 19.2304 
