size temperature m mag_sus 
10 1.95 0.969888 0.0827973 
10 1.95 0.969276 0.0845639 
10 1.95 0.969134 0.0733564 
10 1.95 0.97035 0.0727609 
10 1.95 0.969172 0.0854828 
10 1.955 0.968522 0.0880888 
10 1.955 0.969692 0.0852125 
10 1.955 0.968956 0.0840077 
10 1.955 0.968868 0.0817472 
10 1.955 0.968534 0.0811422 
10 1.96 0.968786 0.0831493 
10 1.96 0.968208 0.0870647 
10 1.96 0.969116 0.0796581 
10 1.96 0.968736 0.0846573 
10 1.96 0.968374 0.0883182 
10 1.965 0.968394 0.0864642 
10 1.965 0.968226 0.0841513 
10 1.965 0.967894 0.0827137 
10 1.965 0.968638 0.0777478 
10 1.965 0.967802 0.0902417 
10 1.97 0.967762 0.0827305 
10 1.97 0.967442 0.0828313 
10 1.97 0.967264 0.0952017 
10 1.97 0.967704 0.0905182 
10 1.97 0.968164 0.0846654 
10 1.975 0.966912 0.093265 
10 1.975 0.966978 0.0916611 
10 1.975 0.965958 0.0925318 
10 1.975 0.967072 0.0857026 
10 1.975 0.96702 0.0837873 
10 1.98 0.966426 0.0861185 
10 1.98 0.965936 0.0993275 
10 1.98 0.966058 0.0947182 
10 1.98 0.964748 0.0948291 
10 1.98 0.966666 0.0883881 
10 1.985 0.965722 0.0874448 
10 1.985 0.965026 0.100892 
10 1.985 0.96546 0.0956951 
10 1.985 0.965628 0.0921796 
10 1.985 0.96565 0.09362 
10 1.99 0.964762 0.096768 
10 1.99 0.964794 0.0986742 
10 1.99 0.965332 0.0916367 
10 1.99 0.965136 0.0969257 
10 1.99 0.965376 0.093016 
10 1.995 0.964098 0.0998961 
10 1.995 0.9645 0.0910471 
10 1.995 0.963536 0.101296 
10 1.995 0.964274 0.0934142 
10 1.995 0.964194 0.100686 
10 2 0.963096 0.106529 
10 2 0.964012 0.101343 
10 2 0.96414 0.094303 
10 2 0.963598 0.103475 
10 2 0.96387 0.0907372 
10 2.005 0.96307 0.105355 
10 2.005 0.961748 0.111185 
10 2.005 0.96215 0.115211 
10 2.005 0.962264 0.117322 
10 2.005 0.96326 0.102237 
10 2.01 0.96164 0.105749 
10 2.01 0.962384 0.110551 
10 2.01 0.9615 0.105341 
10 2.01 0.962548 0.107084 
10 2.01 0.962382 0.10606 
10 2.015 0.961012 0.11079 
10 2.015 0.961464 0.106716 
10 2.015 0.96103 0.109559 
10 2.015 0.961738 0.10573 
10 2.015 0.961416 0.107474 
10 2.02 0.96114 0.0994644 
10 2.02 0.960734 0.106538 
10 2.02 0.960092 0.119259 
10 2.02 0.961476 0.104324 
10 2.02 0.960608 0.117308 
10 2.025 0.96055 0.108139 
10 2.025 0.961036 0.111615 
10 2.025 0.959798 0.116776 
10 2.025 0.95994 0.118285 
10 2.025 0.960198 0.113252 
10 2.03 0.959846 0.11325 
10 2.03 0.959934 0.116534 
10 2.03 0.959794 0.117072 
10 2.03 0.9589 0.126321 
10 2.03 0.959184 0.119506 
10 2.035 0.958934 0.129648 
10 2.035 0.958362 0.122048 
10 2.035 0.95874 0.12096 
10 2.035 0.958438 0.127902 
10 2.035 0.95826 0.124836 
10 2.04 0.958326 0.119257 
10 2.04 0.957904 0.132557 
10 2.04 0.958218 0.133074 
10 2.04 0.95738 0.130683 
10 2.04 0.958214 0.132414 
10 2.045 0.957322 0.118493 
10 2.045 0.956904 0.122258 
10 2.045 0.95736 0.131837 
10 2.045 0.9568 0.137772 
10 2.045 0.95644 0.130193 
10 2.05 0.95628 0.128464 
10 2.05 0.9564 0.133143 
10 2.05 0.95614 0.124881 
10 2.05 0.956324 0.134982 
10 2.05 0.955934 0.134872 
10 2.055 0.955192 0.137024 
10 2.055 0.955376 0.134753 
10 2.055 0.955568 0.133487 
10 2.055 0.955214 0.136943 
10 2.055 0.95621 0.136677 
10 2.06 0.954656 0.14788 
10 2.06 0.955734 0.128897 
10 2.06 0.954072 0.148298 
10 2.06 0.95497 0.136451 
10 2.06 0.954494 0.143521 
10 2.065 0.954004 0.140179 
10 2.065 0.953752 0.146088 
10 2.065 0.952942 0.163749 
10 2.065 0.953554 0.15133 
10 2.065 0.954322 0.133639 
10 2.07 0.95344 0.145681 
10 2.07 0.952686 0.153959 
10 2.07 0.95274 0.146528 
