J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.605 0.993324 0.98685 0.974478 0.00981876 -231.974 0.118639 
0.1 0.075 1.61 0.993242 0.986691 0.97418 0.0100453 -231.935 0.121118 
0.1 0.075 1.61 0.993122 0.986454 0.973717 0.0101275 -231.887 0.120351 
0.1 0.075 1.615 0.993336 0.986875 0.974533 0.00983722 -231.988 0.117625 
0.1 0.075 1.615 0.993034 0.986283 0.973391 0.010308 -231.847 0.121515 
0.1 0.075 1.62 0.992998 0.986219 0.973295 0.0107637 -231.839 0.125891 
0.1 0.075 1.62 0.992714 0.985655 0.972183 0.0107552 -231.706 0.126988 
0.1 0.075 1.625 0.992916 0.986045 0.972912 0.0100466 -231.795 0.118846 
0.1 0.075 1.625 0.99276 0.985748 0.97237 0.0107903 -231.734 0.126534 
0.1 0.075 1.63 0.992846 0.985909 0.972653 0.010173 -231.758 0.120199 
0.1 0.075 1.63 0.99264 0.985515 0.971931 0.0110963 -231.684 0.127314 
0.1 0.075 1.635 0.992518 0.985271 0.971444 0.0109443 -231.619 0.127932 
0.1 0.075 1.635 0.992644 0.985525 0.971958 0.0111737 -231.678 0.130013 
0.1 0.075 1.64 0.992464 0.985168 0.971255 0.0111664 -231.6 0.12769 
0.1 0.075 1.64 0.992296 0.98484 0.970629 0.0114981 -231.527 0.131799 
0.1 0.075 1.645 0.992138 0.98452 0.969981 0.0111021 -231.446 0.129373 
0.1 0.075 1.645 0.992036 0.984328 0.969638 0.0117164 -231.412 0.13364 
0.1 0.075 1.65 0.992118 0.984485 0.969927 0.0113354 -231.437 0.131475 
0.1 0.075 1.65 0.992254 0.984754 0.970449 0.0112606 -231.504 0.127542 
0.1 0.075 1.655 0.991696 0.983671 0.968406 0.0126697 -231.265 0.142337 
0.1 0.075 1.655 0.99211 0.984478 0.969941 0.0118107 -231.452 0.130849 
0.1 0.075 1.66 0.991856 0.983971 0.968936 0.0116094 -231.312 0.134691 
0.1 0.075 1.66 0.991674 0.983625 0.96831 0.01253 -231.258 0.139714 
