J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.62 0.992762 0.985752 0.972377 0.0108427 -231.737 0.124104 
0.1 0.075 1.625 0.992914 0.986046 0.972931 0.0103378 -231.798 0.122075 
0.1 0.075 1.625 0.992858 0.98595 0.972795 0.0112733 -231.797 0.126757 
0.1 0.075 1.63 0.992568 0.985367 0.971623 0.0107954 -231.634 0.127159 
0.1 0.075 1.63 0.992532 0.985306 0.971536 0.0114153 -231.641 0.128998 
0.1 0.075 1.635 0.992542 0.985323 0.971561 0.0112011 -231.625 0.130498 
0.1 0.075 1.635 0.992558 0.985355 0.971625 0.0112206 -231.656 0.12813 
0.1 0.075 1.64 0.992306 0.984857 0.970652 0.0113099 -231.522 0.131228 
0.1 0.075 1.64 0.992448 0.985134 0.971183 0.0110541 -231.59 0.127076 
0.1 0.075 1.645 0.992332 0.98491 0.970761 0.0113703 -231.551 0.128478 
0.1 0.075 1.645 0.992102 0.984459 0.969899 0.0117387 -231.442 0.134939 
0.1 0.075 1.65 0.991942 0.984141 0.969268 0.0116405 -231.36 0.134693 
0.1 0.075 1.65 0.99191 0.984082 0.969168 0.0119001 -231.354 0.136722 
0.1 0.075 1.655 0.99201 0.984274 0.969525 0.0115166 -231.397 0.131888 
0.1 0.075 1.655 0.991904 0.984068 0.969136 0.0117785 -231.342 0.135312 
0.1 0.075 1.66 0.99174 0.983748 0.968524 0.0120345 -231.268 0.139241 
0.1 0.075 1.66 0.99168 0.983632 0.968306 0.0122203 -231.26 0.136839 
0.1 0.075 1.665 0.991572 0.983418 0.967885 0.0121807 -231.204 0.137665 
0.1 0.075 1.665 0.99151 0.983298 0.967662 0.0123796 -231.165 0.14124 
0.1 0.075 1.67 0.991252 0.982797 0.966717 0.0129888 -231.065 0.145062 
0.1 0.075 1.67 0.991306 0.982901 0.966906 0.0127745 -231.102 0.141065 
0.1 0.075 1.675 0.991038 0.982375 0.96589 0.013027 -230.959 0.144957 
