size temperature m m2 m4 ms e sp_h 
40 1.845 0.979653 0.959772 0.921362 0.04546 -3392.38 0.274457 
40 1.845 0.979504 0.959483 0.920819 0.0481824 -3391.56 0.286629 
40 1.845 0.979608 0.959683 0.92119 0.0451119 -3392.19 0.269827 
40 1.85 0.979163 0.958814 0.919535 0.0476056 -3389.71 0.284063 
40 1.85 0.979086 0.958666 0.919252 0.0481041 -3389.29 0.282326 
40 1.85 0.979147 0.958784 0.919478 0.0478469 -3389.58 0.283239 
40 1.855 0.978819 0.958142 0.91825 0.04833 -3387.7 0.287244 
40 1.855 0.978738 0.957985 0.917948 0.0484604 -3387.51 0.282873 
40 1.855 0.978761 0.958031 0.918042 0.0493901 -3387.47 0.277507 
40 1.86 0.978474 0.957467 0.916959 0.0487805 -3385.83 0.277595 
40 1.86 0.978331 0.957191 0.916438 0.0504247 -3384.86 0.293362 
40 1.86 0.978399 0.957322 0.916686 0.0497589 -3385.41 0.288387 
40 1.865 0.978021 0.956586 0.915288 0.0520208 -3383.16 0.29634 
40 1.865 0.97796 0.956466 0.915053 0.0509371 -3383.22 0.289579 
40 1.865 0.978039 0.956619 0.915348 0.051296 -3383.47 0.291832 
40 1.87 0.977582 0.955727 0.913647 0.0522764 -3380.64 0.296344 
40 1.87 0.977523 0.955614 0.913438 0.0538636 -3380.44 0.302126 
40 1.87 0.97749 0.955547 0.913301 0.0519971 -3380.08 0.298198 
40 1.875 0.97715 0.954885 0.912042 0.0534659 -3378.07 0.30108 
40 1.875 0.977175 0.954932 0.912126 0.051841 -3378.65 0.293275 
40 1.875 0.977171 0.954925 0.912118 0.0531179 -3378.73 0.300331 
40 1.88 0.9766 0.953813 0.910005 0.0550691 -3375.12 0.304466 
40 1.88 0.976721 0.954049 0.910454 0.0550125 -3376.01 0.305486 
40 1.88 0.976563 0.953741 0.909873 0.0563809 -3375.03 0.311695 
40 1.885 0.976278 0.953186 0.908813 0.0561249 -3373.52 0.306972 
40 1.885 0.976309 0.953243 0.908914 0.0543611 -3373.42 0.30258 
40 1.885 0.976303 0.953234 0.908903 0.0556112 -3373.52 0.308328 
40 1.89 0.975771 0.952196 0.906935 0.0575903 -3371.06 0.311565 
40 1.89 0.975749 0.952155 0.906856 0.057426 -3370.6 0.311199 
40 1.89 0.9758 0.952253 0.907042 0.057204 -3371 0.308487 
40 1.895 0.975311 0.951303 0.905251 0.0609706 -3368.67 0.322178 
40 1.895 0.975339 0.951356 0.905342 0.0590387 -3368.33 0.321598 
40 1.895 0.975358 0.951392 0.90541 0.0586254 -3368.64 0.312387 
40 1.9 0.974702 0.950117 0.902998 0.0613888 -3365.31 0.323709 
40 1.9 0.974994 0.950685 0.904071 0.0599379 -3366.63 0.317896 
40 1.9 0.974805 0.950317 0.903372 0.0602776 -3365.55 0.323644 
40 1.905 0.974389 0.949508 0.901842 0.0616009 -3363.18 0.323613 
40 1.905 0.974402 0.949534 0.901897 0.0627571 -3363.26 0.327153 
40 1.905 0.974313 0.949359 0.901561 0.0617317 -3362.92 0.329418 
40 1.91 0.973805 0.948374 0.899702 0.0642825 -3360.3 0.331189 
40 1.91 0.973978 0.94871 0.90034 0.0645798 -3360.98 0.334294 
40 1.91 0.973774 0.948312 0.899582 0.0636118 -3360.09 0.330934 
40 1.915 0.973418 0.947619 0.898273 0.0646198 -3357.9 0.332097 
40 1.915 0.973536 0.947848 0.898704 0.06372 -3358.61 0.330181 
40 1.915 0.973468 0.947715 0.898447 0.062697 -3358.1 0.329456 
40 1.92 0.973081 0.946966 0.897046 0.0665913 -3356.04 0.34341 
40 1.92 0.972865 0.946546 0.896248 0.0662017 -3355.11 0.335105 
40 1.92 0.972967 0.946746 0.896637 0.0683312 -3355.72 0.346395 
40 1.925 0.97248 0.945798 0.894839 0.0672312 -3353.1 0.332811 
40 1.925 0.972263 0.94538 0.894065 0.0711504 -3352.36 0.342981 
40 1.925 0.972304 0.945457 0.894197 0.0684034 -3352.42 0.340741 
40 1.93 0.971831 0.944539 0.892466 0.0688044 -3349.53 0.343279 
40 1.93 0.971991 0.94485 0.893055 0.0692803 -3350.38 0.349132 
40 1.93 0.971937 0.944746 0.892858 0.0692177 -3350.21 0.336392 
40 1.935 0.971314 0.943535 0.890575 0.0697029 -3346.68 0.344732 
40 1.935 0.971509 0.943913 0.891288 0.0696813 -3347.93 0.341811 
40 1.935 0.971279 0.943472 0.890468 0.0725267 -3346.82 0.355714 
40 1.94 0.97079 0.942522 0.888683 0.0736105 -3344.26 0.357155 
40 1.94 0.970804 0.942549 0.88873 0.0730391 -3344.05 0.347404 
40 1.94 0.970875 0.942687 0.888986 0.0721377 -3344.59 0.353307 
40 1.945 0.970331 0.941636 0.887026 0.0766018 -3341.51 0.362133 
40 1.945 0.970225 0.941428 0.886627 0.0747956 -3340.85 0.360051 
40 1.945 0.970005 0.941001 0.885824 0.0750326 -3340.22 0.354771 
40 1.95 0.969668 0.940354 0.884636 0.0811715 -3338.04 0.38268 
40 1.95 0.969788 0.940582 0.885045 0.0771208 -3338.74 0.359514 
40 1.95 0.969686 0.940387 0.884688 0.0792942 -3338.1 0.375899 
40 1.955 0.969092 0.939237 0.882535 0.0808534 -3335.59 0.367771 
40 1.955 0.969121 0.939293 0.882638 0.0803041 -3335.13 0.379187 
40 1.955 0.969193 0.939433 0.882895 0.0793533 -3335.71 0.369929 
40 1.96 0.968547 0.938183 0.880559 0.0811406 -3332.32 0.372521 
40 1.96 0.968432 0.937964 0.880163 0.0847021 -3331.75 0.382639 
40 1.96 0.968615 0.938313 0.880797 0.0801499 -3332.81 0.369403 
40 1.965 0.967984 0.937095 0.878528 0.0834911 -3329.38 0.374297 
40 1.965 0.967992 0.937112 0.878562 0.0837519 -3329.32 0.384999 
40 1.965 0.968076 0.937272 0.878856 0.0826385 -3329.73 0.378847 
40 1.97 0.967428 0.936024 0.876539 0.0870689 -3326.73 0.387152 
40 1.97 0.967358 0.935886 0.876272 0.0851507 -3326.04 0.379627 
40 1.97 0.967372 0.93591 0.87631 0.0834391 -3325.99 0.375481 
40 1.975 0.966741 0.934695 0.874053 0.0869669 -3323.2 0.383672 
40 1.975 0.96667 0.934559 0.873802 0.0874612 -3322.75 0.389601 
40 1.975 0.966797 0.934805 0.874263 0.0880396 -3323.72 0.383573 
40 1.98 0.966094 0.93345 0.871741 0.0901304 -3319.66 0.393298 
40 1.98 0.966122 0.933503 0.871845 0.0908631 -3319.86 0.395869 
40 1.98 0.966352 0.933946 0.87266 0.0884101 -3321.16 0.383252 
40 1.985 0.965642 0.932579 0.870131 0.0929794 -3317.42 0.408447 
40 1.985 0.965475 0.932259 0.869537 0.0936979 -3316.52 0.403179 
40 1.985 0.965492 0.93229 0.869593 0.0930487 -3316.59 0.399649 
40 1.99 0.964941 0.931231 0.867635 0.0964061 -3314.17 0.411151 
40 1.99 0.964788 0.930939 0.867106 0.0998752 -3312.83 0.423808 
40 1.99 0.964807 0.930973 0.867155 0.0965533 -3313.1 0.412513 
40 1.995 0.964306 0.930009 0.865371 0.098714 -3311.05 0.41395 
40 1.995 0.964308 0.930012 0.865373 0.0979275 -3310.53 0.41289 
40 1.995 0.964275 0.929954 0.865281 0.101572 -3310.69 0.424453 
40 2 0.963789 0.929016 0.863532 0.100458 -3307.97 0.417318 
40 2 0.963447 0.928356 0.862309 0.101059 -3306.46 0.416266 
40 2 0.96362 0.92869 0.862932 0.101584 -3307.09 0.426084 
40 2.005 0.962952 0.927403 0.86054 0.100761 -3303.52 0.421097 
40 2.005 0.962883 0.927274 0.860317 0.104388 -3303.86 0.417992 
40 2.005 0.962961 0.927423 0.860589 0.103329 -3303.69 0.425581 
40 2.01 0.96211 0.925793 0.857596 0.109336 -3300.1 0.435168 
40 2.01 0.962401 0.926345 0.85859 0.10275 -3300.88 0.416697 
40 2.01 0.962225 0.926013 0.858001 0.108572 -3300.41 0.436772 
40 2.015 0.961521 0.924659 0.85549 0.107591 -3296.92 0.430733 
40 2.015 0.961459 0.924543 0.855292 0.111073 -3296.56 0.440729 
40 2.015 0.961576 0.924765 0.855687 0.107703 -3296.72 0.432746 
40 2.02 0.960825 0.923329 0.853063 0.114248 -3293.54 0.437743 
40 2.02 0.960919 0.923503 0.853366 0.109817 -3293.67 0.438382 
40 2.02 0.961003 0.923666 0.85367 0.110497 -3294.08 0.43834 
40 2.025 0.960104 0.92195 0.850539 0.118407 -3289.4 0.4587 
40 2.025 0.960045 0.921835 0.850323 0.117839 -3289.56 0.448799 
40 2.025 0.960348 0.922414 0.851379 0.114762 -3290.67 0.452676 
40 2.03 0.959292 0.920397 0.847698 0.122734 -3286.17 0.462594 
40 2.03 0.959356 0.920515 0.847901 0.119561 -3286.07 0.456814 
40 2.03 0.95941 0.920617 0.848077 0.117114 -3286.55 0.450683 
40 2.035 0.958638 0.919143 0.845391 0.122472 -3282.78 0.458414 
40 2.035 0.958778 0.919405 0.845849 0.117278 -3283.22 0.448654 
40 2.035 0.958801 0.919449 0.845935 0.118233 -3283.41 0.443401 
40 2.04 0.958094 0.918098 0.84347 0.12183 -3279.95 0.45979 
40 2.04 0.957778 0.917497 0.84238 0.12499 -3277.93 0.472626 
40 2.04 0.958044 0.918006 0.843308 0.123708 -3280.17 0.45676 
40 2.045 0.957017 0.916043 0.83972 0.126298 -3274.61 0.465039 
40 2.045 0.957136 0.916272 0.840147 0.127941 -3275.33 0.465133 
40 2.045 0.956889 0.915799 0.839278 0.127134 -3274 0.478297 
40 2.05 0.9564 0.914866 0.837577 0.128805 -3271.44 0.462454 
40 2.05 0.956189 0.914462 0.836834 0.128001 -3270.82 0.466437 
40 2.05 0.956309 0.914701 0.837303 0.134984 -3271.7 0.476674 
40 2.055 0.955517 0.913186 0.834532 0.134318 -3267.4 0.487748 
40 2.055 0.955527 0.913204 0.834567 0.134591 -3267.43 0.480127 
40 2.055 0.955533 0.913215 0.834581 0.133598 -3267.64 0.470378 
40 2.06 0.954728 0.911678 0.831782 0.134505 -3264.07 0.474251 
40 2.06 0.95495 0.912101 0.832547 0.132969 -3264.6 0.479527 
40 2.06 0.954693 0.911618 0.831694 0.139077 -3263.4 0.498621 
40 2.065 0.953894 0.910098 0.828942 0.142942 -3259.88 0.494657 
40 2.065 0.953814 0.909946 0.828666 0.142779 -3259.95 0.500568 
40 2.065 0.953935 0.910171 0.829054 0.138365 -3259.65 0.484917 
40 2.07 0.953054 0.908503 0.826066 0.148 -3256.34 0.503324 
40 2.07 0.953195 0.908767 0.826533 0.14497 -3256.54 0.501398 
40 2.07 0.95288 0.90817 0.825455 0.146861 -3255.1 0.501812 
40 2.075 0.952209 0.906897 0.823161 0.150303 -3252.07 0.498328 
40 2.075 0.952175 0.906837 0.823068 0.153977 -3252.13 0.514359 
40 2.075 0.951915 0.906339 0.822157 0.15193 -3251.3 0.506711 
40 2.08 0.951292 0.905158 0.820032 0.155117 -3247.73 0.499221 
40 2.08 0.95128 0.905137 0.820007 0.157504 -3248.03 0.523552 
40 2.08 0.951245 0.905068 0.819868 0.154678 -3247.47 0.512074 
40 2.085 0.950473 0.903609 0.817258 0.160696 -3244.29 0.524252 
40 2.085 0.950012 0.90273 0.815662 0.158994 -3242.14 0.514051 
40 2.085 0.950071 0.902851 0.815907 0.165276 -3242.51 0.537068 
40 2.09 0.949449 0.901668 0.813767 0.163912 -3239.36 0.513826 
40 2.09 0.949528 0.901815 0.814026 0.162371 -3239.74 0.522126 
40 2.09 0.94976 0.902259 0.814835 0.164662 -3240.64 0.526078 
40 2.095 0.94885 0.900534 0.811737 0.16619 -3235.88 0.545137 
