size temperature m m2 m4 ms 
80 2.191 0.795949 0.634937 0.406384 4.09773 
80 2.192 0.79547 0.634179 0.405476 4.10623 
80 2.192 0.79488 0.633213 0.404219 4.02437 
80 2.192 0.794546 0.632667 0.4035 3.98359 
80 2.192 0.794923 0.633309 0.404367 4.10749 
80 2.192 0.794647 0.63283 0.403706 3.98884 
80 2.193 0.793658 0.631328 0.401897 4.18772 
80 2.193 0.793857 0.631636 0.402276 4.16399 
80 2.193 0.793017 0.630405 0.400907 4.46146 
80 2.193 0.793672 0.631439 0.402138 4.44507 
80 2.193 0.793849 0.631594 0.402197 4.08057 
80 2.194 0.791725 0.628304 0.398186 4.30321 
80 2.194 0.792192 0.629015 0.399045 4.22074 
80 2.194 0.792679 0.62983 0.400149 4.34521 
80 2.194 0.792154 0.628912 0.398832 4.09641 
80 2.194 0.793128 0.630409 0.400622 3.958 
80 2.195 0.791587 0.628055 0.397833 4.21385 
80 2.195 0.790996 0.627137 0.396684 4.26429 
80 2.195 0.791141 0.627415 0.397137 4.40291 
80 2.195 0.791232 0.62749 0.397099 4.2033 
80 2.195 0.791514 0.627976 0.397788 4.31909 
80 2.196 0.790187 0.625927 0.395264 4.46284 
80 2.196 0.789031 0.624152 0.393172 4.60959 
80 2.196 0.789772 0.625259 0.394473 4.42639 
80 2.196 0.790468 0.626342 0.395807 4.37701 
80 2.196 0.789891 0.625466 0.394748 4.48562 
80 2.197 0.788494 0.623317 0.392125 4.6456 
80 2.197 0.788469 0.623297 0.392172 4.7006 
80 2.197 0.787468 0.621818 0.390432 4.98753 
80 2.197 0.788488 0.623324 0.392141 4.6894 
80 2.197 0.788287 0.622967 0.391691 4.57594 
80 2.198 0.787337 0.621441 0.389716 4.48757 
80 2.198 0.787552 0.621798 0.390226 4.54102 
80 2.198 0.788125 0.6227 0.391291 4.53804 
80 2.198 0.788028 0.622488 0.390965 4.36732 
80 2.198 0.787898 0.622384 0.390979 4.65896 
80 2.199 0.78599 0.619315 0.387061 4.46592 
80 2.199 0.785984 0.619397 0.387379 4.73098 
80 2.199 0.785703 0.619081 0.387151 5.09703 
80 2.199 0.786003 0.619406 0.38733 4.67286 
80 2.199 0.785722 0.618915 0.386622 4.52682 
80 2.2 0.784849 0.617638 0.385236 4.79984 
80 2.2 0.784836 0.617644 0.385277 4.87659 
80 2.2 0.785539 0.618693 0.38648 4.71639 
80 2.2 0.784753 0.61756 0.385223 5.01211 
80 2.2 0.784459 0.617056 0.384529 4.88663 
80 2.201 0.783508 0.615511 0.382563 4.7296 
80 2.201 0.782955 0.614777 0.381885 5.11387 
80 2.201 0.783336 0.615424 0.382721 5.2597 
80 2.201 0.782977 0.614829 0.381983 5.16385 
80 2.201 0.783301 0.615293 0.382466 5.03676 
80 2.202 0.781618 0.612697 0.379361 5.1487 
80 2.202 0.782451 0.613994 0.380924 5.12466 
80 2.202 0.782024 0.613287 0.379993 5.01596 
80 2.202 0.782244 0.613675 0.380529 5.14377 
80 2.202 0.781859 0.61313 0.379955 5.31104 
