size temperature m m2 m4 ms 
16 2.291 0.683987 0.509037 0.311265 4.60349 
16 2.291 0.684652 0.510311 0.312968 4.64426 
16 2.291 0.684945 0.510262 0.312723 4.59397 
16 2.291 0.678367 0.503618 0.30731 4.85364 
16 2.291 0.685563 0.510794 0.313265 4.55874 
16 2.292 0.678694 0.502088 0.304344 4.63109 
16 2.292 0.680654 0.505502 0.308441 4.71481 
16 2.292 0.680837 0.505478 0.308304 4.6842 
16 2.292 0.681415 0.506344 0.309217 4.69314 
16 2.292 0.68012 0.504344 0.307283 4.66653 
16 2.293 0.679402 0.504405 0.307378 4.78046 
16 2.293 0.6819 0.506045 0.30826 4.58387 
16 2.293 0.6812 0.506363 0.309583 4.72582 
16 2.293 0.682718 0.506329 0.308183 4.49092 
16 2.293 0.678804 0.502968 0.306651 4.71068 
16 2.294 0.680592 0.504342 0.306027 4.59057 
16 2.294 0.677611 0.501579 0.304799 4.7341 
16 2.294 0.675195 0.499009 0.302775 4.81207 
16 2.294 0.682655 0.507884 0.311073 4.67215 
16 2.294 0.678209 0.502327 0.305341 4.7271 
16 2.295 0.67723 0.501758 0.305253 4.80968 
16 2.295 0.677269 0.501409 0.304656 4.76488 
16 2.295 0.677146 0.501344 0.304971 4.77608 
16 2.295 0.675086 0.499283 0.30305 4.85699 
16 2.295 0.680929 0.504709 0.307002 4.57841 
16 2.296 0.677071 0.500482 0.303479 4.68921 
16 2.296 0.674942 0.498861 0.302411 4.82939 
16 2.296 0.677321 0.50095 0.303936 4.70363 
16 2.296 0.676193 0.500842 0.304994 4.86185 
16 2.296 0.676645 0.501369 0.304823 4.85251 
16 2.297 0.672188 0.496034 0.300502 4.92574 
16 2.297 0.673316 0.496761 0.300855 4.83758 
16 2.297 0.670731 0.494085 0.298305 4.9266 
16 2.297 0.673016 0.496788 0.300885 4.88568 
16 2.297 0.67598 0.499699 0.302887 4.76441 
16 2.298 0.671407 0.495187 0.299692 4.94616 
16 2.298 0.668216 0.490352 0.2941 4.88378 
16 2.298 0.672365 0.49548 0.299295 4.83546 
16 2.298 0.673939 0.497755 0.301752 4.85272 
16 2.298 0.67135 0.494119 0.298153 4.83573 
16 2.299 0.667754 0.49069 0.295403 4.98804 
16 2.299 0.669966 0.49255 0.296482 4.86562 
16 2.299 0.672882 0.496174 0.299735 4.83316 
16 2.299 0.669893 0.492275 0.296118 4.84586 
