sizes temp ene 
10 1.67 -215.786 
10 1.67 -215.869 
10 1.67 -215.858 
10 1.67 -215.848 
10 1.67 -215.789 
10 1.67 -215.888 
10 1.67 -215.808 
10 1.67 -215.717 
10 1.67 -215.904 
10 1.67 -215.785 
10 1.67 -215.813 
10 1.67 -215.941 
10 1.67 -215.724 
10 1.67 -215.708 
10 1.675 -215.614 
10 1.675 -215.793 
10 1.675 -215.696 
10 1.675 -215.752 
10 1.675 -215.845 
10 1.675 -215.885 
10 1.675 -215.689 
10 1.675 -215.747 
10 1.675 -215.639 
10 1.675 -215.797 
10 1.675 -215.748 
10 1.675 -215.654 
10 1.675 -215.833 
10 1.675 -215.608 
10 1.675 -215.695 
10 1.675 -215.664 
10 1.675 -215.749 
10 1.675 -215.751 
10 1.675 -215.803 
10 1.675 -215.701 
10 1.675 -215.766 
10 1.675 -215.741 
10 1.675 -215.673 
10 1.675 -215.721 
10 1.675 -215.895 
10 1.68 -215.641 
10 1.68 -215.636 
10 1.68 -215.604 
10 1.68 -215.594 
10 1.68 -215.822 
10 1.68 -215.733 
10 1.68 -215.671 
10 1.68 -215.56 
10 1.68 -215.578 
10 1.68 -215.601 
10 1.68 -215.764 
10 1.68 -215.574 
10 1.68 -215.673 
10 1.68 -215.702 
10 1.68 -215.733 
10 1.68 -215.749 
10 1.68 -215.49 
10 1.68 -215.774 
10 1.68 -215.79 
10 1.68 -215.631 
10 1.68 -215.645 
10 1.68 -215.71 
10 1.68 -215.666 
10 1.68 -215.548 
10 1.68 -215.685 
10 1.685 -215.544 
10 1.685 -215.468 
10 1.685 -215.467 
10 1.685 -215.663 
10 1.685 -215.563 
10 1.685 -215.387 
10 1.685 -215.549 
10 1.685 -215.541 
10 1.685 -215.695 
10 1.685 -215.513 
10 1.685 -215.525 
10 1.685 -215.543 
10 1.685 -215.482 
10 1.685 -215.47 
10 1.685 -215.637 
10 1.685 -215.623 
10 1.685 -215.514 
10 1.685 -215.51 
10 1.685 -215.502 
10 1.685 -215.523 
10 1.685 -215.557 
10 1.685 -215.574 
10 1.685 -215.645 
10 1.685 -215.698 
10 1.685 -215.591 
10 1.69 -215.311 
10 1.69 -215.605 
10 1.69 -215.54 
10 1.69 -215.539 
10 1.69 -215.497 
10 1.69 -215.451 
10 1.69 -215.532 
10 1.69 -215.492 
10 1.69 -215.434 
10 1.69 -215.481 
10 1.69 -215.558 
10 1.69 -215.573 
10 1.69 -215.452 
10 1.69 -215.498 
10 1.69 -215.463 
10 1.69 -215.464 
10 1.69 -215.399 
10 1.69 -215.346 
10 1.69 -215.432 
10 1.69 -215.412 
10 1.69 -215.53 
10 1.69 -215.425 
10 1.69 -215.492 
10 1.69 -215.365 
10 1.69 -215.458 
10 1.695 -215.38 
10 1.695 -215.395 
10 1.695 -215.298 
10 1.695 -215.481 
10 1.695 -215.373 
10 1.695 -215.464 
10 1.695 -215.457 
10 1.695 -215.408 
10 1.695 -215.433 
10 1.695 -215.245 
10 1.695 -215.471 
10 1.695 -215.32 
10 1.695 -215.277 
10 1.695 -215.406 
10 1.695 -215.509 
10 1.695 -215.313 
10 1.695 -215.331 
10 1.695 -215.377 
10 1.695 -215.391 
10 1.695 -215.37 
10 1.695 -215.295 
10 1.695 -215.476 
10 1.695 -215.296 
10 1.695 -215.367 
10 1.695 -215.405 
10 1.7 -215.299 
10 1.7 -215.351 
10 1.7 -215.257 
10 1.7 -215.379 
10 1.7 -215.42 
10 1.7 -215.127 
10 1.7 -215.324 
10 1.7 -215.288 
10 1.7 -215.24 
10 1.7 -215.271 
10 1.7 -215.146 
10 1.7 -215.309 
10 1.7 -215.461 
10 1.7 -215.216 
10 1.7 -215.242 
10 1.7 -215.378 
10 1.7 -215.283 
10 1.7 -215.398 
10 1.7 -215.289 
10 1.7 -215.311 
10 1.7 -215.322 
10 1.7 -215.199 
10 1.7 -215.336 
10 1.7 -215.338 
10 1.7 -215.319 
10 1.705 -215.104 
10 1.705 -215.076 
10 1.705 -215.188 
10 1.705 -215.154 
10 1.705 -215.261 
10 1.705 -215.254 
10 1.705 -215.31 
10 1.705 -215.287 
10 1.705 -215.191 
10 1.705 -215.217 
10 1.705 -215.157 
10 1.705 -215.255 
10 1.705 -215.142 
10 1.705 -215.309 
10 1.705 -215.138 
10 1.705 -215.221 
10 1.705 -215.132 
10 1.705 -215.296 
10 1.705 -215.232 
10 1.705 -215.33 
10 1.705 -215.222 
10 1.705 -215.201 
10 1.705 -215.196 
10 1.705 -215.255 
10 1.705 -215.174 
10 1.71 -215.016 
10 1.71 -215.208 
10 1.71 -215.162 
10 1.71 -214.962 
10 1.71 -215.087 
10 1.71 -214.999 
10 1.71 -214.981 
10 1.71 -215.135 
10 1.71 -215.112 
10 1.71 -215.1 
10 1.71 -215.263 
10 1.71 -215.227 
10 1.71 -215.04 
10 1.71 -215.213 
10 1.71 -214.976 
10 1.71 -215.005 
10 1.71 -215.041 
10 1.71 -214.981 
10 1.71 -215.111 
10 1.71 -215.026 
10 1.71 -215.158 
10 1.71 -215.115 
10 1.71 -215.229 
10 1.71 -215.126 
10 1.71 -215.047 
10 1.715 -215.115 
10 1.715 -214.913 
10 1.715 -214.864 
10 1.715 -214.962 
10 1.715 -214.882 
10 1.715 -214.967 
10 1.715 -214.907 
10 1.715 -215.012 
10 1.715 -215.057 
10 1.715 -215.01 
10 1.715 -214.997 
10 1.715 -214.988 
10 1.715 -215.042 
10 1.715 -215.006 
10 1.715 -214.935 
10 1.715 -214.994 
10 1.715 -215.032 
10 1.715 -215.093 
10 1.715 -215.007 
10 1.715 -215.003 
10 1.715 -214.923 
10 1.715 -215.025 
10 1.715 -214.929 
10 1.715 -214.861 
10 1.715 -215.015 
10 1.72 -214.956 
10 1.72 -215.054 
10 1.72 -214.882 
10 1.72 -214.886 
10 1.72 -214.738 
10 1.72 -214.863 
10 1.72 -214.877 
10 1.72 -214.859 
10 1.72 -215.007 
10 1.72 -214.876 
10 1.72 -214.789 
10 1.72 -214.789 
10 1.72 -214.833 
10 1.72 -214.928 
10 1.72 -214.974 
10 1.72 -215.019 
10 1.72 -214.851 
10 1.72 -214.976 
10 1.72 -214.933 
10 1.72 -214.894 
10 1.72 -214.991 
